Marker,Fluor
CD4,PE-Fire810
CD4,PE-TexasRed
CD4,PacificBlue
CD4,PerCP-Cy5.5
CD4,SparkNIR685
CD4,V500
CD54,Biotin
CD54,FITC
CD54,PE
CD54,PE-Cy5
CD56,BUV737
CD56,BV421
CD56,BV570
CD56,PE-Cy5
CD56,PE-Cy5.5
CD56,PE-Cy7
CD56,PE-Fire700
CD56,PerCP-Cy5.5
CD56,SparkNIR685
CD57,BV605
CD57,FITC
CD57,PE-CF594
CD57,PE-Cy5
CD57,PE-Cy7
CD57,PacificBlue
CD5,APC
CD5,BV605
CD5,PE
CD5,PE-Cy5.5
CD5,PE-Cy7
CD5,PerCP-Cy5.5
CD62L,AF700
CD64,PE-Cy7
CD66b,PerCP-Cy5.5
CD68,AF488
CD69,APC-Cy7
CD69,APC-Fire750
CD69,APC-H7
CD69,BUV395
CD69,BUV496
CD69,BUV615
CD71,APC
CD73,BV605
CD73,PE
CD73,PE-CF594
CD80,BV605
CD80,PE
CD80,PE-Cy5
CD83,Biotin
CD85k,PE
CD86,AF700
CD86,BV650
CD86,PE-Cy5
CD86,PacificBlue
CD88,PE
CD8,APC-Fire810
CD8,APC-Vio770
CD8,BUV615
CD8,BV510
CD8,BV650
CD8,BV711
CD8,BV785
CD8,FITC
CD8,PE-Cy5
CD8,PE-TexasRed
CD8,PerCP
CD8,PerCP-eFluor710
CD8,Qdot565
CD8,V500
CD90,PE-Cy7
CD94,APC
CD94,BV480
CD95,APC
CD95,APC-Fire810
CD95,BUV615
CD95,BUV737
CD95,FITC
CD95,PE-Cy5
CD95,PacificBlue
CD95,PerCP-eFluor710
CLA,BV605
CLA,FITC
CLEC9A,AF488
CLEC9A,PE
CX3CR1,BUV661
CX3CR1,PE
FceR1a,BV605
FoxP3,AF488
FoxP3,PE-Cy7
FoxP3,PerCP-Cy5.5
GARP,PE
GATA-3,AF647
GATA-3,PE-Cy7
GM-CSF,PE
GM-CSF,PerCP-Cy5.5
GranzymeB,AF700
GranzymeB,PE
GranzymeB,PE-CF594
HLA-DR,BV570
HLA-DR,BV605
